title,url,discounted_price,original_price
Authentic Oumier Wasp Nano S Dual-Coil BF RDA 25mm - Blue,https://www.cigabuy.com/authentic-oumier-wasp-nano-s-dual-coil-bf-rda-25mm-blue-p-20100.html,$17.20,$20.83 
Camping Cookware Kit Outdoor Cooking Set Water Kettle Pan Pot Travelling Hiking,https://www.cigabuy.com/camping-cookware-kit-outdoor-cooking-set-water-kettle-pan-pot-travelling-hiking-p-19534.html,$20.97,$93.21 
Authentic Uwell Aeglos Pod Kit - Blue,https://www.cigabuy.com/authentic-uwell-aeglos-pod-kit-blue-p-20287.html,$22.87,$40.03 
Authentic Geekvape TALO X 24mm BF RDA - Gunmetal,https://www.cigabuy.com/authentic-geekvape-talo-x-24mm-bf-rda-gunmetal-p-20206.html,$16.56,$25.86 
Authentic Geekvape Aegis Boost Pro Kit - Classic Silver,https://www.cigabuy.com/authentic-geekvape-aegis-boost-pro-kit-classic-silver-p-20326.html,$31.01,$48.78 
Authentic Vandyvape Requiem RDA - Stainless Steel,https://www.cigabuy.com/authentic-vandyvape-requiem-rda-stainless-steel-p-20048.html,$21.12,$33.57 
Authentic Wotofo MANIK Pod Mod Kit - Nano Gunmetal,https://www.cigabuy.com/authentic-wotofo-manik-pod-mod-kit-nano-gunmetal-p-20135.html,$21.22,$41.35 
Authentic Steam Crave Aromamizer Supreme V3 RDTA basic kit 7ml 25ml - Blue,https://www.cigabuy.com/authentic-steam-crave-aromamizer-supreme-v3-rdta-basic-kit-7ml-25ml-blue-p-19986.html,$36.83,$57.40 
Authentic Uwell Whirl II 3.5ml Sub-Ohm Tank - Silver,https://www.cigabuy.com/authentic-uwell-whirl-ii-35ml-sub-ohm-tank-silver-p-20061.html,$17.33,$30.32 
Authentic Steam Crave Aromamizer Supreme V3 RDTA advanced kit 7ml - Gunmetal,https://www.cigabuy.com/authentic-steam-crave-aromamizer-supreme-v3-rdta-advanced-kit-7ml-gunmetal-p-19981.html,$50.91,$79.06 
Authentic Vaporesso FORZ TX80 VW 80W Mod - Imperial Red,https://www.cigabuy.com/authentic-vaporesso-forz-tx80-vw-80w-mod-imperial-red-p-20084.html,$37.91,$60.65 
Authentic Uwell Whirl II Kit - Black,https://www.cigabuy.com/authentic-uwell-whirl-ii-kit-black-p-20278.html,$40.96,$70.79 
Authentic Wotofo nexMESH PRO TANK - SS,https://www.cigabuy.com/authentic-wotofo-nexmesh-pro-tank-ss-p-19852.html,$16.76,$37.91 
Authentic Smoant Pasito II Pod Kit - Chocolate,https://www.cigabuy.com/authentic-smoant-pasito-ii-pod-kit-chocolate-p-19669.html,$21.55,$28.16 
Authentic Timesvape Diesel RTA 5ML 25MM - Black,https://www.cigabuy.com/authentic-timesvape-diesel-rta-5ml-25mm-black-p-16549.html,$16.94,$23.69 
5.0 Bluetooth Adapter Led Screen Wireless Audio Blue Tooth Transmitter Receiver,https://www.cigabuy.com/50-bluetooth-adapter-led-screen-wireless-audio-blue-tooth-transmitter-receiver-p-19470.html,$8.42,$19.56 
5 x Authentic Lost vape Ultra Boost MTL Coil 1.0ohm,https://www.cigabuy.com/5-x-authentic-lost-vape-ultra-boost-mtl-coil-10ohm-p-20013.html,$13.00,$16.24 
Authentic Dovpo Odin 100 Box Mod - Silver,https://www.cigabuy.com/authentic-dovpo-odin-100-box-mod-silver-p-19701.html,$59.58,$81.23 
